"last name","first name","birthdays"
"Trower","Geoffrey","1976-07-26"
"Trombetta","Andrew","1974-10-21"
"Trivett","Pamela","1963-07-01"
"Trivett","Eric","1980-06-11"
"Trinh","Kathleen","1970-02-07"
"Tribble","Ruth","1956-04-05"
"Trembley","Michelle","1951-05-13"
"Tremaine","Ruben","1975-03-10"
"Treiber","Esther","1941-06-15"
"Treadway","Kirk","1962-11-10"
"Travis","Vicki","1941-04-18"
"Trantham","Franklin","1951-09-17"
"Tran","Dana","1974-06-10"
"Tran","Mary","1952-11-24"
"Towers","Joanna","1942-06-29"
"Toussaint","Brittany","1972-06-25"
"Toussaint","Betty","1974-05-10"
"Tousignant","Ruby","1952-07-17"
"Torres","Juan","1965-03-28"
"Torres","Jennifer","1945-05-28"
"Torres","Linda","1980-01-20"
"Torres","Steven","1975-09-13"
"Torres","David","1941-08-15"
"Torres","Anna","1953-05-18"
"Torres","Dorothy","1957-09-16"
"Torres","Henrietta","1948-11-20"
"Toro","Lorie","1951-09-07"
"Torgerson","Ronnie","1949-04-08"
"Topper","Irwin","1969-09-26"
"Toner","Michael","1978-06-27"
"Tom","Kimberly","1955-01-15"
"Tolson","William","1959-01-09"
"Tolley","Donnette","1949-03-10"
"Toler","Timothy","1984-02-26"
"Tolar","Thomas","1969-03-24"
"Tobin","Albert","1964-12-06"
"Titus","Joyce","1949-04-04"
"Tittle","Evelyn","1978-11-04"
"Tirrell","Donald","1953-01-25"
"Tipton","Francis","1968-02-12"
"Tinsley","Shirley","1970-11-18"
"Tinsley","Perry","1957-03-16"
"Tinsley","Salina","1979-06-14"
"Tindell","Joe","1941-09-29"
"Tinch","Kathleen","1970-05-21"
"Timms","Gabriel","1975-09-03"
"Timmons","Anthony","1984-12-30"
"Timmons","Kathryn","1948-11-20"
"Tillman","Ashley","1943-05-01"
"Tilley","Berenice","1961-02-09"
"Tijerina","Derrick","1973-05-27"
"Tijerina","Susan","1963-09-02"
"Tidwell","Alyce","1971-02-01"
"Tickle","Pauline","1971-02-19"
"Thornton","Jessie","1947-04-30"
"Thornton","Sergio","1968-03-07"
"Thomson","Robert","1974-06-21"
"Thompson","Rebecca","1944-02-28"
"Thompson","Frances","1955-05-04"
"Thompson","Lance","1963-11-04"
"Thompson","Bonnie","1951-05-08"
"Thompson","Emily","1966-06-16"
"Thompson","Juan","1964-02-23"
"Thompson","Albert","1985-09-01"
"Thompson","James","1941-04-06"
"Thompson","Kimberly","1974-12-31"
"Thompson","Mike","1972-03-19"
"Thompson","Barry","1983-11-11"
"Thompson","Georgia","1973-03-14"
"Thomason","Ivory","1948-09-14"
"Thomas","Phillip","1967-10-06"
"Thomas","Jose","1977-04-04"
"Thomas","Ruth","1951-03-16"
"Thomas","Leroy","1959-05-01"
"Thomas","Jimmy","1941-11-21"
"Thomas","Eli","1981-09-09"
"Thomas","Erwin","1953-03-19"
"Thomas","Bud","1946-06-01"
"Thomas","Judy","1980-12-31"
"Thomas","Ashlee","1972-04-29"
"Thomas","Hui","1959-03-22"
"Thomas","Suzanne","1985-06-08"
"Thomas","Selena","1961-11-06"
"Theriault","Deborah","1944-06-02"
"Theis","Steven","1967-09-20"
"Thayer","Minerva","1970-10-13"
"Thayer","Laura","1945-04-09"
"Thach","Trinh","1964-06-30"
"Teter","George","1958-01-28"
"Testerman","William","1945-11-21"
"Terry","Leslie","1949-07-18"
"Terrell","Thi","1976-01-08"
"Terrell","Laura","1964-03-04"
"Terrell","Angela","1966-01-19"
"Terrazas","Karen","1974-01-21"
"Teran","Cleveland","1948-11-27"
"Tejada","Gregory","1959-04-03"
"Teeple","Betty","1980-11-30"
"Teal","Beatrice","1949-09-06"
"Taylor","Brian","1965-05-18"
"Taylor","Anna","1982-04-23"
"Taylor","Dorothy","1945-03-22"
"Taylor","Michael","1980-02-17"
"Taylor","Muriel","1946-09-24"
"Taylor","Veronica","1968-03-03"
"Taylor","John","1959-05-14"
"Taylor","John","1971-09-13"
"Taylor","Caitlin","1958-08-18"
"Taylor","Flo","1940-05-26"
"Tavares","John","1945-04-02"
"Tate","Jennifer","1953-02-07"
"Tate","Michael","1941-06-21"
"Tartt","Luella","1957-09-24"
"Tarry","Martha","1965-03-24"
"Tarr","Virginia","1947-10-02"
"Tapia","Joan","1963-04-02"
"Tan","Katie","1968-04-17"
"Tan","Michael","1943-11-20"
"Talley","Richard","1953-04-24"
"Talbot","Diana","1945-09-16"
"Taggart","Mercedes","1940-03-22"
"Tadlock","Sharon","1946-06-10"
"Taber","Ruth","1972-09-19"
"Tabb","Todd","1943-08-06"
"Swords","Brenda","1957-04-10"
"Swisher","Patrick","1955-03-05"
"Swint","Rupert","1972-04-14"
"Swinson","Ruth","1960-11-25"
"Swihart","Jeffrey","1949-08-14"
"Sweet","Tyler","1948-11-05"
"Sweet","Debra","1966-07-30"
"Swasey","Josephine","1941-10-25"
"Swartz","Kristen","1961-09-09"
"Swartz","Virginia","1985-05-06"
"Sutton","Fay","1973-03-19"
"Sutton","Benito","1981-09-17"
"Sutliff","John","1968-12-01"
"Surface","Dorothy","1977-03-17"
"Summerville","Louise","1956-05-30"
"Sullivan","Shane","1944-12-13"
"Sullivan","Carmela","1966-03-04"
"Sullivan","Jared","1962-11-09"
"Sullivan","Keith","1944-07-23"
"Sullivan","Charles","1965-01-02"
"Sullivan","Marcia","1950-08-08"
"Suh","Darryl","1974-10-12"
"Su","Brenda","1975-07-14"
"Sturm","Jim","1948-01-09"
"Sturgeon","Harold","1968-09-06"
"Stumpf","Laura","1985-07-18"
"Studer","Ann","1956-03-03"
"Stuart","Dee","1951-12-27"
"Strope","Harold","1940-09-02"
"Stroh","David","1950-01-02"
"Stroble","Debra","1984-12-19"
"Strickland","Laurel","1975-11-27"
"Strickland","William","1969-05-29"
"Strickland","Darryl","1960-02-11"
"Strickland","Mark","1972-03-11"
"Strickland","John","1969-01-03"
"Strayhorn","Barbara","1961-06-23"
"Straub","Michele","1983-12-18"
"Strader","Rita","1961-03-12"
"Stowell","James","1941-10-06"
"Stowell","Jim","1980-10-12"
"Stover","Albert","1966-08-26"
"Stoughton","Pamela","1970-05-28"
"Stouffer","Gertrude","1944-08-09"
"Stone","Betty","1978-03-31"
"Stone","Larry","1983-07-21"
"Stone","Stephen","1948-03-13"
"Stone","Darnell","1955-11-01"
"Stone","Carmen","1944-05-28"
"Stollings","Chad","1942-02-28"
"Stoller","Linda","1984-10-20"
"Stoll","John","1978-06-09"
"Stokes","Carolyn","1947-02-18"
"Stokes","Gerardo","1957-11-19"
"Stivers","Mary","1960-06-19"
"Stitt","Donna","1954-05-23"
"Stinson","Terry","1954-03-15"
"Stinson","Larry","1979-05-03"
"Stinnett","Donald","1984-10-26"
"Stillman","Tanya","1943-10-31"
"Stillman","Terry","1949-12-23"
"Stiles","Bettye","1957-09-21"
"Stickney","Jeremy","1948-11-20"
"Stickler","William","1985-10-08"
"Stewart","Vickie","1978-12-25"
"Stewart","Hilda","1964-04-14"
"Stewart","Michael","1985-07-30"
"Stewart","Sylvia","1970-09-08"
"Stewart","Mark","1977-02-22"
"Steward","Tammy","1944-06-28"
"Steverson","Sue","1967-02-13"
"Stevenson","Melissa","1961-10-25"
"Stevenson","William","1980-03-27"
"Stevenson","Jack","1960-07-10"
"Stevenson","Karen","1973-11-27"
"Stevens","Augusta","1979-04-27"
"Stevens","Muriel","1972-05-03"
"Stevens","Pedro","1948-09-25"
"Stevens","Benjamin","1973-02-22"
"Sternberg","Mary","1980-12-23"
"Stern","Francis","1975-02-06"
"Stern","Gary","1950-08-29"
"Stern","Dorothy","1945-06-14"
"Sterling","Eva","1975-04-23"
"Stepp","Truman","1961-03-01"
"Stepney","George","1978-02-03"
"Stephenson","Elizabeth","1966-04-12"
"Stephens","Jeanne","1960-05-22"
"Stephens","Brandon","1984-07-11"
"Stephens","Mark","1965-08-26"
"Stephens","Barbara","1968-04-01"
"Stennett","Carolyn","1970-09-01"
"Steinman","Fred","1945-11-16"
"Steinberg","Jose","1963-08-07"
"Stein","Deloris","1943-11-16"
"Stein","Denver","1984-10-28"
"Stein","Donald","1944-06-10"
"Stegman","Karen","1965-11-19"
"Stearns","Teresa","1964-02-15"
"Steadman","Andrew","1976-11-15"
"Stead","Jody","1960-04-03"
"Staudt","James","1943-04-12"
"Starr","Anthony","1976-09-23"
"Stapleton","Joel","1941-03-07"
"Staples","Dorris","1955-09-27"
"Stanley","Larry","1966-06-08"
"Stanley","Thelma","1976-02-25"
"Staley","Tanya","1963-01-01"
"Stahl","Tabitha","1951-07-02"
"Stafford","Bernard","1946-01-28"
"Stafford","Carly","1958-03-09"
"Stafford","Maria","1971-10-28"
"Stacy","Harvey","1979-04-17"
"Spurlock","Timothy","1945-07-24"
"Spurgeon","Roberta","1975-03-12"
"Spruill","David","1950-12-30"
"Spotts","Sharon","1947-07-13"
"Spooner","Scott","1982-06-21"
"Spivey","James","1960-08-15"
"Spiro","William","1981-04-26"
"Spillane","Garry","1946-04-30"
"Sperry","Juanita","1969-03-25"
"Spencer","Jessica","1970-10-11"
"Spencer","Charlene","1970-12-13"
"Spencer","Jimmy","1951-12-18"
"Spencer","Robert","1953-09-12"
"Spencer","Rosella","1974-10-20"
"Spencer","Thomas","1966-10-29"
"Spence","Margot","1967-10-06"
"Spence","Louise","1941-12-07"
"Spence","Richard","1970-04-13"
"Spell","Gerald","1980-08-09"
"Speights","Tracy","1973-06-22"
"Spears","Juanita","1945-08-21"
"Spears","Dolores","1957-09-20"
"Spear","Shelley","1961-01-15"
"Spann","Pamela","1954-01-09"
"Soza","Erica","1962-01-07"
"Sowell","Katherine","1946-12-24"
"Souza","Kimberly","1973-05-14"
"Souza","Rochelle","1962-03-31"
"Southerland","Michelle","1954-10-29"
"Sousa","John","1957-04-09"
"Sousa","Donna","1966-12-24"
"Sottile","Johnny","1983-08-10"
"Soto","Tammi","1958-01-31"
"Soto","Virgina","1942-03-21"
"Soto","Cristina","1985-12-07"
"Soto","Courtney","1969-08-03"
"Sotelo","Spencer","1952-06-24"
"Sosa","Bernice","1953-01-17"
"Song","Cleta","1960-06-23"
"Solomon","Craig","1966-10-24"
"Solis","Wanda","1959-05-18"
"Snyder","Darcy","1981-11-11"
"Snyder","Faye","1949-08-11"
"Snowden","Nellie","1961-07-06"
"Snell","Jimmy","1962-11-10"
"Sneed","Paul","1983-12-17"
"Sneed","Harriette","1950-01-07"
"Smyth","Jermaine","1963-09-07"
"Smith","Gary","1945-12-16"
"Smith","Lisa","1944-08-02"
"Smith","Margaret","1968-09-14"
"Smith","Nicholas","1949-08-05"
"Smith","Alma","1961-08-29"
"Smith","Carla","1947-07-10"
"Smith","Emerita","1978-01-18"
"Smith","Katina","1971-12-08"
"Smith","Noe","1949-02-25"
"Smith","Ernest","1944-05-27"
"Smith","Elmer","1949-03-30"
"Smith","Lisette","1975-01-26"
"Smith","Alexander","1964-11-02"
"Smith","Eric","1978-09-07"
"Smith","Jeanne","1964-07-12"
"Smith","Erika","1956-10-01"
"Smith","Elizabeth","1975-10-16"
"Smith","John","1970-05-23"
"Smith","Louisa","1968-11-28"
"Smith","Marsha","1976-08-09"
"Smith","Stanley","1965-07-19"
"Smith","Marlene","1954-10-31"
"Smith","Allison","1967-04-27"
"Smith","Mary","1960-12-08"
"Smith","Jo","1954-02-10"
"Smith","Leola","1972-11-03"
"Smith","Donna","1958-01-16"
"Smith","Karla","1960-05-02"
"Smith","Marilyn","1941-02-04"
"Smith","Ida","1953-02-25"
"Smith","Angelina","1976-10-26"
"Smith","Justin","1944-08-08"
"Smith","Douglas","1962-08-11"
"Smith","Michael","1952-12-10"
"Smith","Norman","1979-07-20"
"Smith","Todd","1949-05-14"
"Smith","Charles","1946-06-30"
"Smith","Stefanie","1979-08-13"
"Smith","Barbara","1965-04-16"
"Smith","Terry","1964-08-05"
"Smith","Richard","1968-12-21"
"Smith","Marie","1971-08-25"
"Smith","Alfred","1958-02-03"
"Smith","Donna","1969-11-10"
"Smith","Arthur","1967-12-15"
"Smith","Debbie","1952-02-05"
"Smith","Veronica","1941-10-06"
"Smith","Leah","1983-06-09"
"Smith","Johnny","1956-10-31"
"Smith","Francisco","1953-04-24"
"Smith","Crystal","1944-04-22"
"Smith","Merle","1976-06-05"
"Smith","Stella","1978-10-02"
"Smith","Andrew","1977-04-20"
"Smith","Andrea","1957-07-25"
"Smith","Karen","1971-09-19"
"Smith","Kimberly","1948-07-03"
"Smith","James","1968-08-24"
"Smith","Nancy","1965-01-01"
"Smith","Helen","1984-04-08"
"Smith","Tammy","1985-07-20"
"Smith","Robert","1968-04-14"
"Smith","Mabel","1948-08-29"
"Smith","James","1959-08-06"
"Smith","Dennis","1973-07-25"
"Smith","Ella","1952-01-29"
"Smith","Lisa","1964-05-01"
"Smith","Catherine","1941-10-07"
"Smith","Charles","1973-01-03"
"Smith","John","1959-10-11"
"Smith","Martin","1944-09-02"
"Smith","Robert","1971-07-27"
"Smiley","Janice","1984-10-23"
"Smelser","Robert","1950-06-16"
"Smallwood","Roger","1980-02-11"
"Sluss","William","1977-10-15"
"Sloan","Shannon","1972-01-17"
"Slayton","Glenn","1972-09-18"
"Slaughter","Kathy","1982-09-15"
"Slattery","Donald","1980-06-04"
"Slate","Patricia","1975-01-09"
"Slape","Linda","1942-07-27"
"Sklar","Juan","1954-12-23"
"Skipper","Jeremy","1971-02-09"
"Skinner","William","1945-01-08"
"Skinner","Beth","1972-06-11"
"Skelton","Homer","1947-10-11"
"Skaggs","Michael","1982-06-09"
"Sizer","Roy","1947-06-15"
"Sisk","Salvatore","1945-11-10"
"Sisk","Erin","1956-12-18"
"Sirois","Robert","1941-12-25"
"Sirianni","Kevin","1943-10-06"
"Sinquefield","Sherry","1968-07-09"
"Sink","Eduardo","1971-12-12"
"Singleton","Edna","1958-04-13"
"Singletary","Phil","1960-07-26"
"Sines","Opal","1940-09-26"
"Sinclair","Lindsey","1944-02-17"
